batch,seq_len,ffn_hidden,variant,latency_ms,speedup_vs_unfused_INT4
8,128,11008,k1_fused,2.575987974802653,1.700865844805687
8,128,11008,k1_k2_fused,2.3824939727783203,1.8390014887897785
8,128,11008,attention_fused_current,1.6772430737813313,2.612268925990644
8,128,11008,attention_fused_hadacore256,1.6748032569885254,2.6160744222878134
8,128,11008,full_fused_current,1.0357659657796223,4.230115786507922
8,128,11008,full_fused_hadacore256_ffn,1.036655346552531,4.226486630819671
8,128,11008,full_fused_hadacore256_k3_ffn,1.0408270359039307,4.20954665072364
8,128,14336,quarot_unfused,4.5888010660807295,1.0
8,128,14336,k1_fused,2.628364404042562,1.7458770401177681
8,128,14336,k1_k2_fused,2.4616012573242188,1.8641528770865168
8,128,14336,attention_fused_current,1.6992580095926921,2.7004734067315965
8,128,14336,attention_fused_hadacore256,1.661824385325114,2.761303243954379
8,128,14336,full_fused_current,1.144356648127238,4.0099396229229685
8,128,14336,full_fused_hadacore256_ffn,1.1436583201090496,4.0123881279884195
8,128,14336,full_fused_hadacore256_k3_ffn,1.1444910367329915,4.009468767164571
8,1024,11008,quarot_unfused,8.886401494344076,1.0
8,1024,11008,k1_fused,7.748086293538411,1.1469156586130143
8,1024,11008,k1_k2_fused,7.966590245564778,1.1154585864751085
8,1024,11008,attention_fused_current,2.7953567504882812,3.178986543592991
8,1024,11008,attention_fused_hadacore256,2.0265162785847983,4.385062971490081
8,1024,11008,full_fused_current,1.4209046363830566,6.254044970227279
8,1024,11008,full_fused_hadacore256_ffn,1.1157960096995037,7.964181102186665
8,1024,11008,full_fused_hadacore256_k3_ffn,1.0897409915924072,8.154599636890444
8,1024,14336,quarot_unfused,8.834444046020508,1.0
8,1024,14336,k1_fused,7.846180597941081,1.125954715895624
8,1024,14336,k1_k2_fused,2.3696977297465005,3.7280890027124163
8,1024,14336,attention_fused_current,1.6539883613586426,5.341297588553521
8,1024,14336,attention_fused_hadacore256,1.6534740130106609,5.342959113058372
8,1024,14336,full_fused_current,1.1809003353118896,7.481108931760297
8,1024,14336,full_fused_hadacore256_ffn,1.1803370316823323,7.484679213553768
8,1024,14336,full_fused_hadacore256_k3_ffn,1.181061029434204,7.480091058675192
8,4096,11008,quarot_unfused,28.58509572347005,1.0
8,4096,11008,k1_fused,26.72887929280599,1.069446100239738
8,4096,11008,k1_k2_fused,2.394080320994059,11.939906724433154
8,4096,11008,attention_fused_current,1.6611566543579102,17.207947034061696
8,4096,11008,attention_fused_hadacore256,1.66157070795695,17.20365891537531
8,4096,11008,full_fused_current,1.2958536942799885,22.058891254195718
8,4096,11008,full_fused_hadacore256_ffn,1.2962933381398518,22.05140987956394
8,4096,11008,full_fused_hadacore256_k3_ffn,1.326464335123698,21.549841157850942
8,4096,14336,quarot_unfused,27.92926025390625,1.0
8,4096,14336,k1_fused,26.80444844563802,1.0419636244539578
8,4096,14336,k1_k2_fused,2.4103806813557944,11.58707438619055
8,4096,14336,attention_fused_current,1.693738301595052,16.489714041185877
8,4096,14336,attention_fused_hadacore256,1.8272520701090496,15.28484258454798
8,4096,14336,full_fused_current,1.410529613494873,19.80054866392053
8,4096,14336,full_fused_hadacore256_ffn,1.4210340181986492,19.654181318833118
8,4096,14336,full_fused_hadacore256_k3_ffn,1.4150257110595703,19.73763447237495
